sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,bc_price_old,bc_sale_price_old,bc_cost_price_old,reason,call_for_pricing_label,applied,status,error
KA748/1,KA748/1,variant,110183,59212,311.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA9100,KA9100,variant,110194,59229,2.66,0,1.8,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KASS151,KASS151,variant,110199,59235,11.84,0,8,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KASS256,KASS256,variant,110200,59236,13.02,0,8.8,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4050,KL4050,variant,110142,96197,327.92,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4050-1,KL4050-1,product,110142,,199.92,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4050-1-34,KL4050-1-34,variant,110142,96196,199.92,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4070,KL4070,variant,110137,96185,311.92,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4070-1,KL4070-1,product,110137,,191.92,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4070-1-34,KL4070-1-34,variant,110137,96184,191.92,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4090,KL4090,variant,110143,96202,279.92,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4090-1,KL4090-1,product,110143,,167.92,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KL4090-1-34,KL4090-1-34,variant,110143,96201,167.92,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN-1,KN-1,variant,110147,96210,139.44,,99.6,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN-2,KN-2,variant,110147,96211,159.6,,114,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN-2STALL,KN-2 Stall,variant,110147,96212,139.44,,99.6,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN-7,KN-7,variant,110147,96213,240.24,,171.6,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN-7STALL,KN-7 Stall,variant,110147,96214,139.44,,99.6,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN3000,KN3000,product,110147,,187.32,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN3000-DU-36,KN3000-DU-36,variant,110147,96218,,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN3000-DU-72,KN3000-DU-72,variant,110147,96217,,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN3000-GR-36,KN3000-GR-36,variant,110147,96216,,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KN3000-GR-72,KN3000-GR-72,variant,110147,96215,187.32,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KR3010,KAR KR3010,variant,110135,96183,179.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KR3010-1,KAR KR3010-1,product,110135,,119.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KR3010-1-34,KAR KR3010-1-34,variant,110135,96182,119.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
LWAFF,LWAFF,product,110140,,95.94,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
LWAFF-1,LWAFF-1,variant,110140,96193,155.94,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
LWAFF-34,LWAFF-34,variant,110140,96192,95.94,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
ML2007,ML2007,variant,110126,59071,155.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
MQ2013,MQ2013,product,110141,,107.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
MQ2013-1,MQ2013-1,variant,110141,96195,179.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
MQ2013-34,MQ2013-34,variant,110141,96194,107.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
NFPA701SHOWERCURTAINS,NFPA 701 Shower curtains,product,110166,,150.3,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
NY2000,NY2000,variant,110148,96220,179.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
NY2000-1,NY2000-1,product,110148,,107.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
NY2000-1-34,NY2000-1-34,variant,110148,96219,107.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
NYCNAEX,NYCNAEX,variant,110149,96222,239.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
NYCNAEX-1,NYCNAEX-1,product,110149,,155.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
NYCNAEX-1-34,NYCNAEX-1-34,variant,110149,96221,155.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
PA2008,PA2008,variant,110155,59173,131.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
RCVK-1,RCVK-1,variant,110184,59213,418.14,0,303,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
RCVS-1,RCVS-1,variant,112114,82965,429.73,0,303,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
RG3700-36X72-BEIGE,RG3700-36X72-BEIGE,variant,110166,96230,150.3,,120,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
RG3700-36X72-WHITE,RG3700-36X72-WHITE,variant,110166,96229,150.3,,120,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
RG3700-72X72-BEIGE,RG3700-72X72-BEIGE,variant,110166,96232,252,,100.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
RG3700-72X72-WHITE,RG3700-72X72-WHITE,variant,110166,96231,252,,100.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SC1700,SC1700,variant,110169,96234,112.56,,80.4,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SC1700-1-36,SC1700-1-36,variant,110169,96233,67.2,,48,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SC4040,SC4040,variant,110175,96244,275.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SC4040-1,SC4040-1,product,110175,,167.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SC4040-1-36,SC4040-1-36,variant,110175,96243,167.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
"SF-72""X72""12/CASE","SF - 72"" X 72"" 12/CASE",variant,111909,96186,81,,59.4,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
"SF36""X72""24/CASE","SF 36"" X 72"" 24/CASE",variant,111909,96187,110,,72,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SF42X72|18PERPACK,SF 42x72 | 18 Per Pack,variant,111909,96189,114,,78.3,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SF48X72|18PERPACK,SF 48X72 | 18 Per Pack,variant,111909,96188,121,,86.4,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SL2941-OP,SL2941-OP,variant,110191,96259,65,,32.5,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SN2003,SN2003,variant,110131,96161,251.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SN2003-1,SN2003-1,product,110131,,155.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SN2003-1-34,SN2003-1-34,variant,110131,96160,155.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SNWOVEN,SNWOVEN,variant,110134,96179,239.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SNWOVEN-1,SNWOVEN-1,product,110134,,155.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SNWOVEN-1-34,SNWOVEN-1-34,variant,110134,96178,155.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-1,SP-1,variant,110128,96151,136.08,,97.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-2,SP-2,variant,110128,96152,226.8,,162,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-23,SP-23,variant,110128,96156,226.8,,162,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-23STALL,SP-23 Stall,variant,110128,96157,136.08,,97.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-2STALL,SP-2 Stall,variant,110128,96153,136.08,,97.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-35,SP-35,variant,110128,96158,226.8,,162,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-35STALL,SP-35 Stall,variant,110128,96159,136.08,,97.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-7,SP-7,variant,110128,96154,226.8,,162,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP-7STALL,SP-7 Stall,variant,110128,96155,136.08,,97.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP3070,SP3070,variant,110150,96224,203.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP3070-1,SP3070-1,product,110150,,119.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SP3070-1-34,SP3070-1-34,variant,110150,96223,119.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SPECIFY-D,SPECIFY-D,variant,110185,96246,347.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SPECIFY-K,SPECIFY-K,variant,110185,96248,419.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SPECIFY-Q,SPECIFY-Q,variant,110185,96247,359.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SPECIFY-T,SPECIFY-T,product,110185,,275.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SPECIFY-T-6,SPECIFY-T-6,variant,110185,96245,275.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-1-36,SS-1-36,variant,109815,105864,170.5,161.28,115.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-1-42,SS-1-42,variant,109815,106845,187.81,177.66,126.9,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-1-48,SS-1-48,variant,109815,105867,206.46,195.3,139.5,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-1-72,SS-1-72,variant,109815,105861,142.08,134.4,96,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-12-36,SS-12-36,variant,109815,106854,170.5,161.28,115.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-12-42,SS-12-42,variant,109815,106850,187.81,177.66,126.9,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-12-48,SS-12-48,variant,109815,106843,206.46,195.3,139.5,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-12-72,SS-12-72,variant,109815,106839,142.08,134.4,96,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-17-36,SS-17-36,variant,109815,106855,170.5,161.28,115.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-17-42,SS-17-42,variant,109815,106851,187.81,177.66,126.9,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-17-48,SS-17-48,variant,109815,106844,206.46,195.3,139.5,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-17-72,SS-17-72,variant,109815,106840,142.08,134.4,96,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-19-42,SS-19-42,variant,109815,106849,187.81,177.66,126.9,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-2-36,SS-2-36,variant,109815,105865,170.5,161.28,115.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-2-42,SS-2-42,variant,109815,106846,187.81,177.66,126.9,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-2-48,SS-2-48,variant,109815,105868,206.46,195.3,139.5,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-3-72,SS-3-72,variant,109815,105862,142.08,134.4,96,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-7-36,SS-7-36,variant,109815,106852,170.5,161.28,115.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-7-42,SS-7-42,variant,109815,106847,187.81,177.66,126.9,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-7-48,SS-7-48,variant,109815,106841,206.46,195.3,139.5,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-7-72,SS-7-72,variant,109815,106837,142.08,134.4,96,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-8-36,SS-8-36,variant,109815,105866,170.5,161.28,115.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-8-42,SS-8-42,variant,109815,106848,187.81,177.66,126.9,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-8-48,SS-8-48,variant,109815,105869,206.46,195.3,139.5,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-8-72,SS-8-72,variant,109815,105863,142.08,134.4,96,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
SS-9-36,SS-9-36,variant,109815,106853,170.5,161.28,115.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
